year,municode,inc_m,ind_lang,educ_years,sales_hotel,logtemp,logprecip,dist_us_km
2000,10017,2619.596,.0287196,7.537897,658,5.065085,3.778679,352.5288
2000,10018,2945.049,.0118367,8.749372,645,5.164228,3.64535,423.7854
2000,10019,3604.943,.0082547,7.467548,42,5.009937,4.47547,539.6793
2000,10020,2653.401,.007874,8.439791,84,5.132021,3.764447,505.9653
2000,10021,1855.14,.0103627,6.691255,157,5.243271,3.497431,469.3569
2000,10022,2091.41,.0129,7.553935,3,5.099523,3.733242,553.7315
2000,10023,2382.794,.0203507,7.250321,1280,5.115255,4.519343,646.4316
2000,10024,2168.351,.0061082,7.57328,203,5.300802,3.423892,436.1983
2000,10026,2805.94,.0154725,6.364885,281,4.991406,4.439266,578.0002
2000,10027,1643.482,.009539,4.883041,23,5.328609,3.287467,410.6261
2000,10028,2569.432,.0025907,7.38,20,5.267309,3.655566,475.0347
2000,10032,2991.279,.0161195,8.138454,2256,5.024975,4.27821,500.7053
2000,10034,3107.766,0,6.068988,298,5.323952,4.537345,550.5175
2000,10035,3768.368,.0051399,9.505248,396,4.94624,4.208054,471.6911
2000,10036,1882.756,.0070408,7.217129,33,5.290375,3.059576,292.7347
2000,10037,3221.06,.007767,7.608955,45,5.196374,4.514278,514.6111
2000,10038,3249.867,.0130192,8.921592,412,5.100088,3.7432,569.2704
2000,10039,2935.453,.0010684,7.196214,485,5.013028,3.844081,487.8527
2000,11001,2172.467,.0021455,6.421904,15574,5.300652,4.063028,692.5652
2000,11002,2307.312,.0076661,6.436316,2086,5.152403,4.159127,710.6647
2000,11003,3923.223,.0067252,6.767831,100853,5.184276,3.867703,620.8721
2000,11004,2319.328,.0057187,6.198707,86,5.167298,4.063423,666.0049
2000,11005,2464.717,.0078503,7.196199,110,5.227198,3.933064,651.9448
2000,11007,3286.928,.0061592,8.476897,76193,5.231179,3.980961,662.2541
2000,11008,2679.107,.0058224,6.253953,127,5.265624,4.147277,687.7116
2000,11009,2306.971,.0066434,6.814469,241,5.214488,3.991026,641.6798
2000,11010,1772.601,.0111272,6.067157,24,5.026604,4.242557,680.6693
2000,11011,2287.707,.0034072,7.239621,1279,5.198816,4.04986,679.3389
2000,11012,3057.264,.0019514,6.264082,225,5.277592,4.098053,689.0991
2000,11013,2726.452,.0022179,6.498673,60,5.125456,3.756489,583.9438
2000,11014,2491.7,.0091067,6.540195,4743,5.164959,3.831122,606.0271
2000,11015,3458.99,.0056228,8.943817,117254,5.113956,4.115025,631.2433
2000,11017,2962.298,.0085999,7.716063,21784,5.290849,4.037983,668.8583
2000,11018,1848.489,.0083172,5.886077,66,5.22656,4.058226,691.1674
2000,11019,5992.535,.0095714,6.008245,54,5.086504,4.206736,686.9896
2000,11020,3491.067,.0054843,7.802284,249624,5.188396,4.066514,635.4469
2000,11021,2886.315,.0039345,7.336315,6579,5.170055,4.171368,726.8876
2000,11022,2292.448,.0016944,5.688889,47,5.092545,3.814427,583.355
2000,11023,2157.954,.002704,6.094394,812,5.274166,4.190582,716.7014
2000,11024,2270.98,.0009158,6.798144,30,5.31768,3.999611,683.7323
2000,11026,2021.776,.0014857,6.211753,222,5.28025,4.05351,664.7453
2000,11027,3302.408,.0034575,8.190075,16500,5.258644,4.05744,668.3052
2000,11028,2435.849,.0090747,6.939008,1852,5.185632,4.107448,700.9435
2000,11030,2391.6,.0026088,6.291543,617,5.099663,3.84389,581.5674
2000,11031,4705.8,.0047197,6.605492,3260,5.263381,4.042369,663.1003
2000,11032,2600.671,.0047832,6.767688,2983,5.110394,3.825412,599.3513
2000,11033,2281.212,.0260497,6.208993,748,5.155443,3.739403,562.2014
2000,11034,2268.411,.0013387,6.570423,6,5.185583,3.812721,572.8067
2000,11035,2263.998,.0063492,6.189581,245,5.216253,4.063822,656.8398
2000,11037,3723.374,.0053741,7.260385,17146,5.230422,4.005373,644.6589
2000,11041,2433.552,.0064233,6.385619,1947,5.200085,4.108621,719.5178
2000,11042,2142.308,.0089944,6.153623,931,5.268604,4.052823,697.6314
2000,11044,2320.06,.0042187,7.528124,10,5.245356,3.984604,670.1942
2000,11045,4345.971,.0041124,6.705691,7,5.298853,3.933175,548.1948
2000,11046,2301.832,.0049074,7.020437,233,5.212121,4.132614,715.9844
2000,12001,3056.52,.0274696,8.581224,1685355,5.606668,4.648564,1007.946
2000,12003,2019.935,.0110005,6.131298,177,5.442904,4.693442,930.5314
2000,12005,1776.243,.3394118,6.261889,374,5.405612,4.200637,910.8435
2000,12006,2892.935,.0922904,7.489632,230,5.479422,4.442204,893.8124
2000,12007,2864.515,.0417579,7.577073,785,5.542911,4.542734,883.6786
2000,12011,2091.96,.0270637,7.343604,375,5.488791,4.817637,985.2343
2000,12012,1694.141,.3591549,7.03021,214,5.550779,4.970359,994.4125
2000,12013,1731.46,.1403181,6.467185,141,5.626321,4.700898,1017.043
2000,12014,1934.678,.0078244,7.16298,164,5.65758,4.442281,1012.89
2000,12015,2549.871,.0168426,7.125587,36,5.418542,4.571722,838.8107
2000,12016,1352.553,0,4.495233,30,5.554765,4.326912,926.8196
2000,12021,1589.789,.0133895,6.790407,660,5.539513,4.758416,997.0443
2000,12022,3264.876,.011775,5.726015,274,5.459656,4.643525,922.6699
2000,12023,2733.484,.0566293,5.753071,473,5.652986,4.568991,1040.813
2000,12028,1987.766,.1883502,6.289828,851,5.352546,4.590489,933.4565
2000,12029,2937.368,.0361767,9.700381,20033,5.419822,4.758924,960.8042
2000,12030,3781.589,.030866,6.999119,138,5.67104,4.519229,1024.474
2000,12032,2040.403,.0129741,6.214127,26,5.372997,4.617342,933.1365
2000,12033,1838.376,.063684,6.514178,385,5.427852,4.233058,892.6757
2000,12034,2214.608,.0481375,6.93339,184,5.490256,4.389793,859.824
2000,12035,2461.772,.0263348,8.421226,6493,5.530341,4.41534,868.1306
2000,12036,5434.81,.2251539,5.753321,11,5.571807,4.899325,1003.09
2000,12037,2000.879,.0269151,7.485075,15,5.321669,4.5714,847.9403
2000,12038,2769.231,.0232484,7.924536,773975,5.517799,4.600739,966.9335
2000,12039,2089.021,.0151476,7.929862,178,5.583157,4.77311,982.3474
2000,12040,1274.995,.00625,6.370334,1,5.295472,4.621322,937.4782
2000,12045,1764.409,.2006723,6.666667,171,5.423884,4.302562,886.968
2000,12046,1915.655,.4577569,7.101987,608,5.599619,4.814555,1017.037
2000,12048,2125.575,.0235772,6.450466,868,5.522174,4.670604,978.6781
2000,12049,1819.878,.0120219,6.546529,24,5.387364,4.556691,817.8257
2000,12050,3100.642,.0145195,7.75478,3813,5.641262,4.406006,885.1255
2000,12051,10103.32,.1177305,6.200356,14,5.463283,4.762867,957.8195
2000,12052,2488.427,.6530439,6.9,79,5.530606,5.032731,998.2245
2000,12053,1795.802,.0196769,5.588814,184,5.644594,4.624422,1017.162
2000,12055,2289.7,.033716,7.620736,47710,5.363881,4.57559,837.1788
2000,12056,2363.16,.0233899,9.379433,7,5.587857,4.851009,996.1533
2000,12057,2305.057,.0098323,6.549158,1119,5.524579,4.711544,989.0961
2000,12058,3450.715,.004857,7.172642,880,5.416924,4.524515,863.5074
2000,12061,1855.114,.2835568,6.995139,130,5.366302,4.435503,930.511
2000,12065,1897.232,.0619658,6.816594,22,5.363004,4.243851,917.3621
2000,12066,5079.56,.5554156,8.032318,1019,5.34653,4.340562,921.039
2000,12067,2174.487,.0251459,7.179069,647,5.605371,4.509225,887.7038
2000,12068,2157.792,0,5.838235,252,5.576642,4.412483,962.1888
2000,12071,835.1974,.9674346,3.496024,303,5.493961,4.989202,992.3283
2000,12073,3124.399,.001845,4.978926,288,5.54058,4.484577,904.596
2000,12075,2110.962,.2242828,5.774467,106,5.441691,4.252104,914.4534
2000,13002,1721.764,.3302331,5.434598,1164,4.972513,4.60191,630.8413
2000,13003,2375.047,.0726108,8.506627,2595,5.042731,4.012657,626.9274
2000,13004,1622.468,.0579521,5.867706,40,4.988193,4.574711,611.3231
2000,13005,2086.198,.0237718,7.574291,3043,5.045438,3.900219,652.2941
2000,13008,2134.344,.0125176,8.18092,663,4.913771,3.944061,682.1857
2000,13010,3259.691,.0175188,8.180007,174,5.09375,3.902097,663.3954
2000,13012,1884.072,.0270474,6.348315,192,5.044196,4.151552,617.7198
2000,13014,1672.239,.5735679,6.23555,238,5.321738,4.951474,555.5508
